state,year,state_abbr,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population,m_gdp,rpcgdp,rpcpi,pov,lab,state_area,density,refundable_eitc,eitc,ca_model,nc_model
Oklahoma,2007,OK,40,0.051028946311980496,0.10446024858922465,0.23881195779491732,0.06731246778996734,0.09888758619494165,0.23680774741226007,0.0023833704468117947,0.015717808058609672,0.023540391965658772,0.003548916188291218,0.014978748601193777,0.02350407184340304,0.0035057172550022027,0.02262275857381886,0.03242561460112939,0.004668236319626981,0.02173979438958669,0.034055617663576065,3634349,156219.5,42984.17680855636,35711,11.9,63.1,69919,51.97941904203435,0,1,1,0
Oregon,2007,OR,41,0.05590158222466747,0.11804749441021788,0.2783731645326142,0.07121340784764307,0.1121252669972225,0.27763090486638115,5.813427136185978e-4,0.004690232179790711,0.007056436718400974,7.049183366613682e-4,0.004414336169214787,0.005710536997869932,0.0017741161186401201,0.009950255438872109,0.018752600796740397,0.002346593624518693,0.00983205266900511,0.020894757357920943,3722417,168975.1,45393.920133074826,35879,8.9,64.8,96981,38.382951299739126,1,1,0,1
Pennsylvania,2007,PA,42,0.05782232114026041,0.10619123607512518,0.25265535795029853,0.08145798566166003,0.10112339786485718,0.2551980322728457,0.0039029963298924534,0.020305816560525575,0.03072953963395391,0.006530357482690338,0.019508693811501922,0.03409496561467954,8.585684566867854e-4,0.0044869693313489235,0.009506972217386955,0.0010401994215666634,0.004504240987518482,0.010082349187201432,12563937,617309.9,49133.47623440009,40337,8.1,63,45333,277.14770696843357,0,0,1,0
Rhode Island,2007,RI,44,0.053627348519599174,0.1097288887417657,0.2624752320736961,0.07956190917560046,0.10511058672202703,0.2731834883643947,0.001713774986640689,0.01457276213805725,0.02130396334110459,0.002662404297678554,0.01382274913341814,0.021673767987780368,9.968646997347054e-4,0.006357613388630635,0.01200872020164284,0.0012427706028950692,0.006727418035306413,0.01322973759002757,1057315,51469.1,48679.05969365799,40894,8.3,65.6,1214,870.9349258649094,1,1,0,1
South Carolina,2007,SC,45,0.04417959951486349,0.08723186419778088,0.2095629946153448,0.05736086640519699,0.08254363640863975,0.209625324305654,0.010141513148864452,0.04787887788556089,0.07832951929632705,0.016271199407755434,0.04670496454858228,0.09082470955939434,4.844614557245433e-4,0.0029058686666171628,0.006068481653244407,6.307224618652554e-4,0.0028480393149584505,0.006407357153625811,4444110,178474.6,40159.807025478665,32402,11.2,62.6,31055,143.1044920302689,0,1,1,0
South Dakota,2007,SD,46,0.059044519929309786,0.11808398694833273,0.26329578599914355,0.07749143215899487,0.1113168768466808,0.2543761361152973,1.579034464637839e-4,0.003437242222623648,0.004534986982439874,1.6421958432233526e-4,0.003280602003731574,0.00242413371011201,0.001904947178139089,0.023032428314993376,0.025448982659675122,0.002780363885334307,0.022581456071892807,0.02664399594251304,791623,37755.9,47694.29387473583,38748,8.9,69.7,77047,10.27454670525783,0,0,1,0
Tennessee,2007,TN,47,0.048675402912078204,0.10408134945084198,0.24435309397581856,0.06566741049272418,0.09858304941264405,0.2469717330445468,0.0048769966677607345,0.029844583479807316,0.04650351286577273,0.008101556302602106,0.029178589014702237,0.05348860142295798,4.6682763017212386e-4,0.002969205083061476,0.006179191534858973,5.759645787451421e-4,0.0029528507332011278,0.006530081397704271,6175727,273224,44241.592933107306,34164,12,63.3,42244,146.19181422213805,0,0,1,0
Texas,2007,TX,48,0.03845387100183816,0.12741696735852825,0.245885707454558,0.05027642894844294,0.12107288764010951,0.2432752658475797,0.0034050460677149696,0.021449201268732024,0.03508398776551662,0.0052427445924243905,0.02063466560881652,0.0384760680636605,0.0012644772363256554,0.007551700586560506,0.015520403820361905,0.0015629836593958632,0.0072150521423248746,0.0162125409371096,23831983,1286192.7,53969.185023336075,37085,12.8,65.2,267339,89.14517896752812,0,0,1,0
Utah,2007,UT,49,0.038069926774981076,0.16556083620184575,0.2675484824151399,0.04659693441930043,0.15807665568535184,0.2625745550180811,1.9170465472759845e-4,0.0034810947644611906,0.004133968448031486,2.0710261896274694e-4,0.003168131141381798,0.0027627797328915143,9.866245583671383e-4,0.008881930719939517,0.013532500868060234,0.001288809606481927,0.008712938062458762,0.014225024309536037,2597746,123835.3,47670.28801122204,33165,6.9,69.5,84916,30.591949691459796,0,0,1,0
Virginia,2007,VA,51,0.040535930847632566,0.09440807637724165,0.2286424977422268,0.05376893304089795,0.0897066185008386,0.22730912140368983,0.007039865823764676,0.032522642239711005,0.05808166688169269,0.010876661075990194,0.03170765062572571,0.06403625338665979,0.0017395174816152755,0.00865088375693459,0.01902967359050445,0.002203586633982712,0.008398529222035867,0.021341891368855632,7751000,424939.5,54823.82918333118,44248,7.1,67,40815,189.90567193433787,0,1,1,0
Vermont,2007,VT,50,0.05828405356378141,0.12330287530814893,0.29604109828527253,0.07623167345917518,0.1158351256894757,0.3006394741780423,2.1492234727281184e-4,0.0028517308466496976,0.0033377119751844884,2.036950604749784e-4,0.002567840880475909,0.0024748147898652887,4.218252039757426e-4,0.002623977314465076,0.005227103953448461,4.715460455090051e-4,0.002980042695767794,0.006290488403014687,623481,26886.7,43123.527421044106,38944,6.4,69.8,9609,64.88510771152045,1,1,0,1
Washington,2007,WA,53,0.047289930476831776,0.11314805480449308,0.2649691167200875,0.0595138624613427,0.10714488561401402,0.26132604884837113,0.0010240518312296964,0.008615220997566078,0.013593255031619941,0.0011673602785198126,0.008091355885171863,0.011365164625965726,0.0030552865727877685,0.015551133181368602,0.030122011821554055,0.0044739782966630335,0.015121981643209322,0.03442730090920389,6461587,373180.6,57753.70663584658,42819,7.8,66.1,68192,94.75579246832473,0,0,1,0
Wisconsin,2007,WI,55,0.05441458622026369,0.11731587882244432,0.2745809625230026,0.07252438388636151,0.11152363087095811,0.2685302832496402,0.0014342047221640505,0.013975431201571976,0.017340741697893784,0.0021433759150919435,0.013455003987862639,0.018435064674666157,6.366321943047083e-4,0.00671208522886767,0.00959813929448249,8.906078037347781e-4,0.0066438237141927805,0.00984516399249658,5610775,269933.6,48109.86004607206,37816,7.1,68.7,56154,99.91763721195285,1,1,0,1
