State,sfip,year,pov,lab
Iowa,19,2015,7.7,67.5
Kansas,20,2015,8.4,66.3
Kentucky,21,2015,14,58.8
Louisiana,22,2015,14.7,60.1
Maine,23,2015,8.9,62.2
Maryland,24,2015,6.7,67.3
Massachusetts,25,2015,7.9,67.1
Michigan,26,2015,11.1,61
Minnesota,27,2015,6.3,69.9
Mississippi,28,2016,16.5,57.1
Missouri,29,2016,9.8,63
Montana,30,2016,8,63.4
Nebraska,31,2016,7.4,69.5
Nevada,32,2016,10.2,63.3
New Hampshire,33,2016,4,67.6
New Jersey,34,2016,7.6,65.3
New Mexico,35,2016,15.3,58.2
New York,36,2016,10.9,63.1
North Carolina,37,2016,11.2,62
North Dakota,38,2016,6.4,71
Ohio,39,2016,10.5,63.2
Oklahoma,40,2016,11.5,61
Oregon,41,2016,8.5,61.9
Pennsylvania,42,2016,8.6,62.1
Rhode Island,44,2016,9.2,63.9
South Carolina,45,2016,10.8,60.5
South Dakota,46,2016,8.2,67.9
Tennessee,47,2016,11.6,60.6
Texas,48,2016,12,64.5
Vermont,50,2016,7.7,65.2
Utah,49,2016,7.2,68.2
Virginia,51,2016,7.6,65.8
Washington,53,2016,7.1,64.1
West Virginia,54,2016,12.9,53.5
Wisconsin,55,2016,7.7,66.5
Wyoming,56,2016,6.3,66.8
Puerto Rico,72,2016,39.4,44.7
Alabama,01,2016,12.7,57.3
Alaska,02,2016,6.7,70.2
Arizona,04,2016,11.9,59.4
Arkansas,05,2016,12.4,57.5
California,06,2016,10.5,63.3
Colorado,08,2016,7,68
Delaware,10,2016,8.1,61.4
District of Columbia,11,2016,13.7,69.3
Connecticut,09,2016,6.8,66.6
Florida,12,2016,10.5,58.2
Georgia,13,2016,12,62.9
Idaho,16,2016,10,62
Hawaii,15,2016,6,65.7
Illinois,17,2016,9.5,65.2
Indiana,18,2016,9.6,63.7
Iowa,19,2016,7.6,67.6
Kansas,20,2016,7.9,66.3
Kentucky,21,2016,14,59.1
Louisiana,22,2016,15.4,59.3
Maine,23,2016,7.6,62.3
Maryland,24,2016,6.3,68
Massachusetts,25,2016,7.3,67.4
Michigan,26,2016,10.2,61.2
Minnesota,27,2016,5.9,69.5
Mississippi,28,2017,14.9,56.5
Missouri,29,2017,9.2,63
Montana,30,2017,7.7,63.8
Nebraska,31,2017,7.2,70.1
Nevada,32,2017,9.1,63.7
New Hampshire,33,2017,4.9,67.9
New Jersey,34,2017,7.3,65.4
New Mexico,35,2017,15.2,56.8
New York,36,2017,10.4,63.2
North Carolina,37,2017,10.6,62.4
North Dakota,38,2017,6.1,71.2
Ohio,39,2017,9.8,62.9
Oklahoma,40,2017,11.6,61
Oregon,41,2017,8.8,62.4
Pennsylvania,42,2017,8.1,62.4
Rhode Island,44,2017,7.9,65.4
South Carolina,45,2017,11.3,60.4
South Dakota,46,2017,8.4,67.9
Tennessee,47,2017,10.9,61.5
Texas,48,2017,11.3,64.3
Vermont,50,2017,7,65.4
Utah,49,2017,6.7,68.7
Virginia,51,2017,7.1,65.7
Washington,53,2017,7.1,64.6
West Virginia,54,2017,14.1,52.4
Wisconsin,55,2017,7.1,66.3
Wyoming,56,2017,7.6,66
Puerto Rico,72,2017,40.9,43.4
Alabama,01,2017,12.8,56.5
Alaska,02,2017,7.4,68
Arizona,04,2017,10.7,59.9
Arkansas,05,2017,11.6,58
California,06,2017,9.6,63.7
Colorado,08,2017,6.7,68.2
Delaware,10,2017,9.2,59.3
District of Columbia,11,2017,13.3,70.5
Connecticut,09,2017,6.4,65.7
Florida,12,2017,10.1,58.4
Georgia,13,2017,11.1,63.3
Idaho,16,2017,8.6,62.1
Hawaii,15,2017,7.4,65.3
Illinois,17,2017,9,65
Indiana,18,2017,9.2,63.4
Iowa,19,2017,6.7,67.3
Kansas,20,2017,7.9,66.5
Kentucky,21,2017,12.9,59.3
Louisiana,22,2017,14.7,58.9
Maine,23,2017,6.3,63
Maryland,24,2017,6.2,67.9
Massachusetts,25,2017,7.2,66.7
Michigan,26,2017,9.7,61.5
Minnesota,27,2017,5.8,69.5
Wisconsin,55,2018,7,66
Wyoming,56,2018,7.1,65.8
Puerto Rico,72,2018,39.7,44.1
Mississippi,28,2018,15,56.6
Missouri,29,2018,9,62.5
Montana,30,2018,7.7,63.6
Nebraska,31,2018,7.1,69.1
Nevada,32,2018,9.1,63.6
New Hampshire,33,2018,4.7,67
New Jersey,34,2018,6.9,65.8
New Mexico,35,2018,15.1,56.2
New York,36,2018,10,62.9
North Carolina,37,2018,10.2,62.4
North Dakota,38,2018,5.7,69.6
Ohio,39,2018,9.7,63.1
Oklahoma,40,2018,11.4,61.2
Oregon,41,2018,8,62.6
Pennsylvania,42,2018,8.1,62.8
Rhode Island,44,2018,9.1,63.8
South Carolina,45,2018,10.8,60.3
South Dakota,46,2018,8,68.2
Tennessee,47,2018,11.3,61.3
Texas,48,2018,11.4,64.5
Vermont,50,2018,6.2,65.7
Utah,49,2018,6.1,68.1
Virginia,51,2018,7.1,65.4
Washington,53,2018,6.3,64.6
West Virginia,54,2018,13,53
Alabama,01,2018,12.2,56.8
Alaska,02,2018,7.5,67.9
Arizona,04,2018,9.9,59.8
Arkansas,05,2018,12.7,57.9
California,06,2018,9.1,63.9
Colorado,08,2018,6.2,68.7
Delaware,10,2018,8.4,62.1
District of Columbia,11,2018,11.3,70.7
Connecticut,09,2018,7.1,66
Florida,12,2018,9.7,58.7
Georgia,13,2018,10.8,63.1
Idaho,16,2018,8.2,62.1
Hawaii,15,2018,5.7,65.6
Illinois,17,2018,8.5,65.4
Indiana,18,2018,9.3,64
Iowa,19,2018,7.2,66.9
Kansas,20,2018,8,66.3
Kentucky,21,2018,12.6,59.3
Louisiana,22,2018,13.6,58.9
Maine,23,2018,7.3,62.9
Maryland,24,2018,6,67.7
Massachusetts,25,2018,6.5,66.8
Michigan,26,2018,9.5,61.5
Minnesota,27,2018,5.7,69.2
Mississippi,28,2019,14.8,56.9
Missouri,29,2019,8.8,62.6
Montana,30,2019,7.9,62.7
Nebraska,31,2019,6.2,69.5
Nevada,32,2019,8.7,63.6
New Hampshire,33,2019,4.2,66.8
New Jersey,34,2019,6.2,66
New Mexico,35,2019,13.7,58
New York,36,2019,9.3,63.4
North Carolina,37,2019,9.6,62.3
North Dakota,38,2019,6.5,70.4
Ohio,39,2019,9.2,63.5
Oklahoma,40,2019,10.8,60.9
Oregon,41,2019,6.6,62.5
Pennsylvania,42,2019,8.2,62.9
Rhode Island,44,2019,6.6,65.3
South Carolina,45,2019,9.8,60.4
South Dakota,46,2019,7.3,67.9
Tennessee,47,2019,10,61.7
Texas,48,2019,10.5,65
Vermont,50,2019,5.8,65.4
Utah,49,2019,6.1,69.7
Virginia,51,2019,6.5,66
Washington,53,2019,6.2,65.1
West Virginia,54,2019,11.1,53.8
Wisconsin,55,2019,6.2,65.9
Wyoming,56,2019,6.6,64.8
Puerto Rico,72,2019,39.5,45.1
Georgia,13,2019,9.6,63.2
Idaho,16,2019,7.4,63.6
Hawaii,15,2019,6.4,64.9
Illinois,17,2019,7.9,65.1
Indiana,18,2019,7.8,64
Iowa,19,2019,7.3,66.9
Kansas,20,2019,7.5,66.9
Kentucky,21,2019,11.8,59
