year,state,sfip,pop_wm65o,pop_wmU20,pop_wmWA,pop_wf65o,pop_wfU20,pop_wfWA,pop_bm65o,pop_bmU20,pop_bmWA,pop_bf65o,pop_bfU20,pop_bfWA,pop_nm65o,pop_nmU20,pop_nmWA,pop_nf65o,pop_nfU20,pop_nfWA,population
2008,IL,17,563069,1368720,3067786,777625,1298838,3026625,68741,337462,511574,108987,328255,600212,22656,95786,217707,28439,93561,230995,12747038
2008,IN,18,322644,787164,1684033,440104,747899,1682966,19168,117722,163356,29078,113782,181079,2871,21047,42838,3767,21198,44090,6424806
2008,KS,20,148880,354976,738101,199447,336355,730604,5285,37211,53514,7808,34741,49926,2593,18352,33601,3312,18066,35304,2808076
2008,KY,21,225736,513212,1162174,303635,487720,1179833,10758,62430,100386,17002,59518,101942,1503,9877,20270,2028,10225,21629,4289878
2008,LA,22,175871,369070,880633,233032,351731,873310,47723,249895,389311,74249,243192,440106,3149,15949,34355,3839,15511,34660,4435586
2008,MA,25,336464,687295,1667075,479240,657313,1734830,14266,90516,144387,22132,86935,158804,11380,54827,122027,13692,55675,132109,6468967
2008,MD,24,215856,453126,1092974,289402,429937,1098372,56765,274030,481689,87342,266256,575685,13120,50162,111455,15773,48824,124197,5684965
2008,ME,23,87164,155422,386846,114224,146424,397237,316,4869,5032,300,4522,3466,555,3924,6968,779,4288,8173,1330509
2008,MI,26,503589,1077182,2425682,666217,1022450,2423529,51321,262484,392752,79106,252779,447239,9411,55543,103026,11377,54010,109192,9946889
2008,MN,27,275012,611236,1422925,361174,583311,1403917,4251,65291,80654,5596,62108,76644,5530,57217,82230,7262,55841,86819,5247018
2008,MO,29,319547,669517,1497312,424585,636703,1509872,22600,129419,189836,36752,124781,216335,3965,22029,44854,4886,22168,48755,5923916
2008,MS,28,117473,234907,537077,158714,222351,528877,35046,193991,290359,56542,189528,337750,1059,7280,13659,1482,7103,14608,2947806
